"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17"
"1","","","Brazil","","","Russia","","","India","","","China","","","South Africa","",""
"2","","","Financial","Industrial","Resource","Financial","Industrial","Resource","Financial","Industrial","Resource","Financial","Industrial","Resource","Financial","Industrial","Resource"
"3","Brazil","Financial",".","0.4935*","0.0586","0.1255","0.0501","0.1111","0.1286","0.0877","0.045","0.0165","0.018","0.0119","0.0312","0.0345","0.0364"
"4","","Industrial","0.0049*",".","0.0507","0.1453","0.0536","0.1315","0.1444","0.0982","0.0439","0.0142","0.0164","0.0096","0.0225","0.0295","0.0257"
"5","","Resource","0.0005*","0.0005*",".","0.0296","0.023","0.0256","0.044","0.0331","0.0229","0.0128","0.0187","0.0172","0.0149","0.0142","0.0232"
"6","Russia","Financial","0.0014*","0.0016*","0.0004",".","0.1428","0.4281*","0.1254","0.0994","0.0461","0.012","0.0115","0.0054","0.0157","0.0191","0.0363"
"7","","Industrial","0.0009*","0.0009*","0.0002","0.0015*",".","0.131","0.063","0.0605","0.0384","0.0394","0.0301","0.0237","0.0378","0.0407","0.0977"
"8","","Resource","0.0012*","0.0015*","0.0004","0.0045*","0.0014*",".","0.143","0.1089","0.0555","0.0117","0.0129","0.0053","0.0141","0.0165","0.0352"
"9","India","Financial","0.0012*","0.0014*","0.0004","0.0014*","0.0006*","0.0015*",".","0.4399*","0.122","0.0188","0.0224","0.014","0.0258","0.0288","0.033"
"10","","Industrial","0.0008*","0.001*","0.0003","0.001*","0.0005*","0.0012*","0.0044*",".","0.1555","0.0149","0.019","0.0117","0.0208","0.0232","0.0291"
"11","","Resource","0.0005*","0.0005*","0.0002","0.0005","0.0006*","0.0006*","0.0019*","0.0015*",".","0.0225","0.0338","0.0238","0.0402","0.0411","0.0778"
"12","China","Financial","0.0003","0.0003","0.0001","0.0003","0.0004","0.0003","0.0002","0.0002","0.0003",".","0.2483","0.0792","0.0714","0.0861","0.0739"
"13","","Industrial","0.0002","0.0002","0.0001","0.0002","0.0003","0.0002","0.0003","0.0003","0.0004","0.0025*",".","0.1551","0.0656","0.0804","0.0483"
"14","","Resource","0.0002","0.0002","0.0002","0.0004","0.0004","0.0003","0.0003","0.0003","0.0003","0.0011*","0.0024*",".","0.0264","0.0309","0.0669"
"15","South Africa","Financial","0.0005","0.0004","0.0003","0.0006*","0.0004","0.0006*","0.0004","0.0003","0.0004*","0.0006","0.0005","0.0004",".","0.3791*","0.1196"
"16","","Industrial","0.0005","0.0004","0.0002","0.0007*","0.0004","0.0007*","0.0004","0.0003","0.0004","0.0009*","0.0007*","0.0005","0.0038*",".","0.1579"
"17","","Resource","0.0006*","0.0006*","0.0002","0.0004","0.0009*","0.0007*","0.0003","0.0003","0.0006*","0.0004","0.0003","0.0007*","0.0016*","0.0024*","."
